Date,ISF.L,VMID.L,VUKG.L,CUKX.L,XUKX.L,IUKD.L,VUKE.L,XUKS.L,UKRE.L
2019-01-01,686.98583984375,23.749526977539062,,10901.0,730.4805297851562,789.8285522460938,23.53510093688965,410.79998779296875,474.0750732421875
2019-02-01,701.6470336914062,24.30862045288086,,11162.0,748.8208618164062,793.6140747070312,24.007404327392578,400.54998779296875,480.3337097167969
2019-03-01,717.1063232421875,24.16684913635254,,11525.0,771.6968383789062,782.0587158203125,24.44542121887207,388.0249938964844,483.6750793457031
2019-04-01,735.032470703125,25.288667678833008,,11806.0,754.7518310546875,780.9188842773438,25.40807342529297,379.625,484.3236083984375
2019-05-01,712.9884643554688,24.293333053588867,29.84587287902832,11443.0,734.591796875,734.2967529296875,24.6510066986084,390.5249938964844,477.974609375
2019-06-01,731.5413818359375,24.602365493774414,30.747440338134766,11903.0,765.8043212890625,741.7681884765625,25.317304611206055,375.3500061035156,484.009765625
2019-07-01,747.9072265625,25.228466033935547,31.56974983215332,12176.0,781.3108520507812,750.1307983398438,26.221921920776367,366.79998779296875,479.1216735839844
2019-08-01,717.3805541992188,24.92788314819336,30.041542053222656,11643.0,746.4585571289062,729.7034912109375,25.082853317260742,383.4750061035156,485.5339050292969
2019-09-01,729.2520141601562,25.549354553222656,31.116487503051758,12040.0,773.0841064453125,754.7144775390625,25.564313888549805,370.625,504.28887939453125
2019-10-01,715.7774047851562,26.0057373046875,30.583969116210938,11826.0,756.8294067382812,761.2346801757812,25.443395614624023,377.2250061035156,517.2577514648438
2019-11-01,727.6504516601562,27.033842086791992,31.1734561920166,12031.0,769.8430786132812,783.6593017578125,25.93131446838379,370.70001220703125,524.0171508789062
2019-12-01,742.5166625976562,28.426494598388672,32.01062774658203,12317.0,790.2857666015625,821.0332641601562,26.478744506835938,360.4750061035156,538.2335815429688
2020-01-01,717.13525390625,27.50635528564453,30.7895450592041,11893.0,761.765869140625,781.5390625,25.731367111206055,373.9750061035156,530.0029296875
2020-02-01,652.376708984375,25.120052337646484,28.09227180480957,10850.0,692.6094970703125,703.694091796875,23.421573638916016,410.3500061035156,497.2998046875
2020-03-01,556.78515625,19.34182357788086,24.310144424438477,9370.0,602.8110961914062,517.9030151367188,20.028823852539062,454.2749938964844,431.9011535644531
2020-04-01,580.596435546875,21.509506225585938,25.323169708251953,9747.5,583.6148071289062,554.3323974609375,21.11020278930664,433.29998779296875,447.01611328125
2020-05-01,597.561279296875,22.222454071044922,26.02411460876465,10051.0,602.4515380859375,569.3844604492188,21.72273826599121,417.7749938964844,452.11785888671875
2020-06-01,603.1495361328125,22.32669448852539,26.52691078186035,10271.0,614.9244995117188,573.17236328125,21.986413955688477,406.3999938964844,453.7142028808594
2020-07-01,579.637939453125,22.14476203918457,25.40738296508789,9854.0,590.477294921875,532.5664672851562,21.231443405151367,421.9750061035156,455.7096862792969
2020-08-01,588.8197021484375,23.374557495117188,25.873027801513672,9987.0,597.7115478515625,568.0576782226562,21.587677001953125,415.625,464.1104736328125
2020-09-01,574.7478637695312,22.59442901611328,25.4990234375,9848.0,588.98046875,541.1400146484375,21.072668075561523,420.3500061035156,452.43658447265625
2020-10-01,548.7523193359375,22.74749183654785,24.32500457763672,9394.0,561.6893310546875,521.0796508789062,20.262271881103516,439.8999938964844,442.9080810546875
2020-11-01,616.9222412109375,25.559598922729492,27.468109130859375,10560.0,634.5322875976562,609.9205932617188,22.773481369018555,387.79998779296875,468.2664794921875
2020-12-01,634.9877319335938,27.08888053894043,28.307756423950195,10928.0,653.5413818359375,645.217529296875,23.468074798583984,375.67498779296875,475.0515441894531
2021-01-01,628.8329467773438,26.819122314453125,28.00310516357422,10804.0,647.0552978515625,645.168701171875,23.355358123779297,378.3500061035156,471.25982666015625
2021-02-01,639.0140991210938,27.82980728149414,28.35481834411621,10970.0,655.487060546875,661.5221557617188,23.693958282470703,373.1000061035156,474.21380615234375
2021-03-01,659.67578125,28.578306198120117,29.717077255249023,11454.0,686.520263671875,702.5059814453125,24.46200942993164,356.375,479.8016357421875
2021-04-01,686.2843017578125,30.041749954223633,30.839082717895508,11906.0,695.2015380859375,724.0049438476562,25.722408294677734,342.32501220703125,497.5128479003906
2021-05-01,693.7711791992188,30.270912170410156,31.208131790161133,12048.0,703.3389282226562,740.1603393554688,26.0313663482666,337.82501220703125,510.39801025390625
2021-06-01,687.3823852539062,29.540987014770508,31.312158584594727,12024.0,704.9857177734375,721.2127075195312,25.801734924316406,335.92498779296875,509.27545166015625
2021-07-01,689.3577270507812,30.576637268066406,31.289867401123047,12040.0,703.937744140625,734.1094970703125,26.097185134887695,335.57501220703125,536.9656372070312
2021-08-01,702.4360961914062,32.24991226196289,31.86697006225586,12290.0,716.1649780273438,752.4622802734375,26.62832260131836,329.25,551.1981811523438
2021-09-01,691.4541625976562,30.546688079833984,31.938796997070312,12234.0,717.1131591796875,716.5547485351562,26.101409912109375,328.1499938964844,528.6212158203125
2021-10-01,707.61474609375,30.96952247619629,32.58525085449219,12544.0,732.2349853515625,731.380859375,27.141494750976562,321.04998779296875,542.3419189453125
2021-11-01,691.4395141601562,30.201000213623047,31.983383178710938,12248.0,716.7139282226562,725.1954956054688,26.580951690673828,327.32501220703125,558.571533203125
2021-12-01,718.7976684570312,31.379690170288086,33.22922897338867,12838.0,748.6544799804688,751.733154296875,27.607898712158203,312.7749938964844,570.04736328125
2022-01-01,729.03173828125,29.520078659057617,33.6478157043457,13004.0,757.537841796875,781.3347778320312,28.135404586791992,309.07501220703125,546.3472290039062
2022-02-01,730.8291625976562,28.369661331176758,33.76918029785156,13062.0,760.6320190429688,773.8516235351562,28.20421600341797,306.57501220703125,537.128662109375
2022-03-01,738.61767578125,28.482534408569336,34.39829635620117,13272.0,775.2548217773438,771.6566772460938,28.509567260742188,300.3999938964844,556.962158203125
2022-04-01,743.654541015625,28.076236724853516,34.5865364074707,13362.0,749.0536499023438,763.72021484375,28.892457962036133,299.3500061035156,547.7315063476562
2022-05-01,751.2437744140625,27.73628807067871,34.92338562011719,13502.0,755.1170654296875,780.8825073242188,29.173728942871094,295.75,522.8060913085938
2022-06-01,699.916015625,25.121305465698242,33.0162239074707,12750.0,706.8893432617188,707.5435791015625,27.070724487304688,311.6499938964844,486.65509033203125
2022-07-01,725.9723510742188,27.503244400024414,34.28931427001953,13182.0,733.2805786132812,726.7335205078125,28.58209991455078,300.07501220703125,518.4400634765625
2022-08-01,718.18212890625,26.077320098876953,33.902931213378906,13024.0,718.60107421875,706.7225341796875,28.252155303955078,304.17498779296875,483.78009033203125
2022-09-01,674.1384887695312,23.397624969482422,32.203819274902344,12368.0,681.71337890625,626.7784423828125,26.50124168395996,320.7250061035156,407.1337585449219
2022-10-01,693.1992797851562,24.73224639892578,33.12520217895508,12730.0,702.3865966796875,656.9100341796875,27.62609100341797,312.1000061035156,419.1596374511719
2022-11-01,741.9427490234375,26.494070053100586,35.51039505004883,13648.0,743.133544921875,708.5704345703125,29.54500389099121,291.7250061035156,427.3212585449219
2022-12-01,725.761474609375,25.880102157592773,35.05961227416992,13476.0,732.989990234375,696.9905395507812,29.059707641601562,297.2250061035156,424.6764831542969
2023-01-01,757.2765502929688,27.474143981933594,36.466453552246094,14022.0,762.5554809570312,740.4805297851562,30.40373420715332,286.92498779296875,438.6493225097656
2023-02-01,769.16357421875,27.487590789794922,37.07327651977539,14271.0,771.6947021484375,744.2741088867188,30.891664505004883,283.5249938964844,435.4848937988281
2023-03-01,747.8866577148438,26.142793655395508,36.13951110839844,13974.0,753.552001953125,703.6409301757812,29.826274871826172,291.2749938964844,418.5166320800781
2023-04-01,772.4059448242188,27.126785278320312,37.34077453613281,14432.0,778.274169921875,727.1343994140625,31.125072479248047,283.4750061035156,424.2558898925781
2023-05-01,733.4458618164062,26.207233428955078,35.438568115234375,13735.0,734.6731567382812,676.7152099609375,29.54328155517578,300.17498779296875,410.3917541503906
2023-06-01,733.4458618164062,25.585182189941406,36.00823974609375,13866.0,745.7410278320312,652.5538940429688,29.669828414916992,297.95001220703125,390.0268249511719
2023-07-01,750.7322998046875,27.000911712646484,36.7711067199707,14236.0,762.1741943359375,679.2635498046875,30.650190353393555,292.8999938964844,401.5570068359375
2023-08-01,732.3485717773438,26.40302276611328,35.911643981933594,13900.0,736.0508422851562,655.4962768554688,29.868505477905273,302.4750061035156,394.2259216308594
2023-09-01,741.5404052734375,25.754928588867188,36.80330276489258,14218.0,754.1590576171875,659.191162109375,30.28449058532715,296.8999938964844,389.9826965332031
2023-10-01,715.044677734375,24.302751541137695,35.332061767578125,13676.0,724.586181640625,634.7323608398438,29.48467445373535,311.6499938964844,372.8098449707031
2023-11-01,729.3335571289062,26.084373474121094,36.07759094238281,13994.0,730.53076171875,671.9871826171875,30.10896110534668,307.17498779296875,402.9891052246094
2023-12-01,752.5155639648438,27.953462600708008,37.5835075378418,14516.0,759.3439331054688,698.305419921875,31.070817947387695,297.42498779296875,430.35107421875
2024-01-01,742.6834716796875,27.725767135620117,37.10300064086914,14340.0,749.3020629882812,687.49365234375,30.885408401489258,303.3999938964844,414.4232482910156
2024-02-01,745.2816772460938,27.405261993408203,37.207027435302734,14354.0,740.5089111328125,673.95849609375,31.025054931640625,304.2250061035156,393.4196472167969
2024-03-01,776.6597900390625,28.4921875,39.05722427368164,15050.0,775.7664794921875,710.718017578125,32.309818267822266,292.5,415.8922119140625
2024-04-01,796.2958374023438,28.923673629760742,40.15446090698242,15486.0,796.4036865234375,722.6063842773438,33.359798431396484,287.25,401.8593444824219
2024-05-01,813.2850341796875,30.15605354309082,40.917327880859375,15816.0,804.6985473632812,752.6254272460938,34.12351608276367,283.79998779296875,414.0686340332031
2024-06-01,793.3978271484375,29.035707473754883,40.501220703125,15650.0,797.0344848632812,725.1536865234375,33.247352600097656,288.6499938964844,405.4776306152344
2024-07-01,813.5986328125,31.50397300720215,41.43498611450195,16030.0,814.9251098632812,766.3783569335938,34.586830139160156,284.6499938964844,410.472412109375
2024-08-01,820.1952514648438,30.847347259521484,41.73963928222656,16156.0,812.5762939453125,767.5773315429688,34.85807800292969,284.5,410.3421936035156
2024-09-01,798.9058227539062,30.634765625,41.269039154052734,15905.0,800.7257080078125,755.6869506835938,34.0490837097168,290.45001220703125,415.587646484375
2024-10-01,787.9933471679688,29.833152770996094,40.550758361816406,15652.0,788.3306884765625,735.6257934570312,33.81111526489258,297.32501220703125,388.2614440917969
2024-11-01,808.2854614257812,30.480976104736328,41.66533279418945,16065.0,801.2754516601562,758.7609252929688,34.74311065673828,291.6499938964844,388.37744140625
2024-12-01,792.7913208007812,30.061796188354492,41.115474700927734,15866.0,790.4028930664062,740.47265625,34.06573486328125,297.92498779296875,372.0389404296875
